list_id,item,item_name,condition,input_video,input_audio,audio match item
1,1,argue,unrelated,make1,argue,1
1,2,bite,both_related,cancer,bite,1
1,3,break,meaning_related,crack,break,1
1,4,camp,form_related,alcohol,camp,1
1,5,carry,unrelated,rose,carry,1
1,6,climb,both_related,hold,climb,1
1,7,comb,meaning_related,hairdyer,comb,1
1,8,count,form_related,clap,count,1
1,9,dig,unrelated,pack,dig,1
1,10,drink,both_related,telescope,drink,1
1,11,eat,meaning_related,fat,eat,1
1,12,exercise,form_related,gift,exercise,1
1,13,fight,unrelated,rule,fight,1
1,14,haircut,both_related,scissors,haircut,1
1,15,hide,meaning_related,disappear,hide,1
1,16,hug,form_related,stage,hug,1
1,17,jump,unrelated,sell,jump,1
1,18,kick,both_related,walk,kick,1
1,19,kiss,meaning_related,love,kiss,1
1,20,knot,form_related,cracker,knot,1
1,21,listen,unrelated,rat,listen,1
1,22,look,both_related,blind,look,1
1,23,measure,meaning_related,weight,measure,1
1,24,music,form_related,fired,music,1
1,25,open,unrelated,open,warm,0
1,26,pay,both_related,pay,owe,0
1,27,pickup,meaning_related,pickup,drop,0
1,28,pour,form_related,pour,south,0
1,29,pray,unrelated,pray,whiteperson,0
1,30,preach,both_related,preach,feedback,0
1,31,protest,meaning_related,protest,student,0
1,32,sew,form_related,sew,family,0
1,33,shoot,unrelated,shoot,yelllow,0
1,34,sit,both_related,sit,couch,0
1,35,sleep,meaning_related,sleep,dream,0
1,36,smell,form_related,smell,mirror,0
1,37,smoke,unrelated,smoke,tree,0
1,38,stand,both_related,stand,dance,0
1,39,sweep,meaning_related,sweep,dirty,0
1,40,swim,form_related,swim,floor,0
1,41,telephone,unrelated,telephone,meat,0
1,42,think,both_related,think,idea,0
1,43,turn,meaning_related,turn,screw,0
1,44,violin,form_related,violin,improve,0
1,45,vomit,unrelated,vomit,fix1,0
1,46,wash,both_related,wash,cook,0
1,47,win,meaning_related,win,prize,0
1,48,write,form_related,write,standup,0
1,1,east,filler,east,east,1
1,2,fourth,filler,fourth,fourth,1
1,3,deny,filler,deny,deny,1
1,4,lemon,filler,lemon,lemon,1
1,5,download,filler,download,download,1
1,6,dollar,filler,dollar,dollar,1
1,7,fish,filler,fish,fish,1
1,8,snake,filler,snake,snake,1
1,9,horse,filler,horse,horse,1
1,10,city,filler,city,city,1
1,11,miss,filler,miss,miss,1
1,12,quit,filler,quit,quit,1
1,13,airplane,filler,airplane,airplane,1
1,14,under,filler,under,under,1
1,15,curious,filler,curious,curious,1
1,16,pig,filler,pig,pig,1
1,17,dog,filler,dog,dog,1
1,18,old,filler,old,old,1
1,19,rich,filler,rich,rich,1
1,20,bull,filler,bull,bull,1
1,21,army,filler,army,army,1
1,22,blue,filler,blue,blue,1
1,23,danger,filler,danger,danger,1
1,24,man,filler,man,man,1
1,25,same,filler,same,same,1
1,26,car,filler,car,car,1
1,27,sure,filler,sure,sure,1
1,28,art,filler,art,art,1
1,29,quiet,filler,quiet,quiet,1
1,30,selfish,filler,selfish,selfish,1
1,31,ninth,filler,ninth,ninth,1
1,32,freeze,filler,freeze,freeze,1
1,33,grapes,filler,grapes,grapes,1
1,34,effect,filler,effect,effect,1
1,35,cookie,filler,cookie,cookie,1
1,36,whale,filler,whale,whale,1
1,37,use,filler,use,use,1
1,38,hour,filler,hour,hour,1
1,39,end,filler,end,end,1
1,40,game,filler,game,game,1
1,41,gold,filler,gold,gold,1
1,42,candy,filler,candy,candy,1
1,43,god,filler,god,god,1
1,44,bird,filler,bird,bird,1
1,45,glasses,filler,glasses,glasses,1
1,46,search,filler,search,search,1
1,47,top,filler,top,top,1
1,48,goat,filler,goat,goat,1
